,Gene
3,trnV
4,trnK
5,rdlD
6,trnR
7,StyR-44
9,tnp
10,hypT
14,agrB
20,trnA
27,ydeA
29,cytR
33,macA
34,macB
38,murB
39,birA
40,coaA
41,trnT
42,trnY
43,trnG
49,glpX
53,naRNA4
54,cpxA
55,cpxR
56,cpxP
57,fieF
60,cdh
61,tpiA
62,yiiQ
63,yiiR
64,yiiS
65,uspD
66,fpr
67,pfkA
68,glpK
70,zapB
71,rraA
72,menA
73,hslU
74,hslV
75,ES036
76,ftsN
77,priA
78,ppc
80,rpmE
81,rrf
83,trnD
84,yafD
86,mltD
87,gloB
88,yafS
89,rnhA
90,yafC
91,dnaQ
110,rpsC
111,def
112,yrdA
114,aroE
115,tsaC
116,yrdD
117,smg
118,dprA
119,rpoA
120,rsmB
121,trkA
122,mscL
123,arfA
124,zntR
126,fmt
127,rpsD
128,rplP
129,rplF
130,rpmJ
131,secY
132,rplO
133,rpmD
134,rpsE
135,rpsM
136,rplR
137,rpsK
138,rpsN
139,rplE
140,rplX
141,rplN
142,rpsQ
143,rpmC
145,rplV
147,rplW
148,rplD
149,rplC
150,rpsJ
152,bfr
153,yfiL
154,bfd
157,dgcN
158,yfjD
159,smpB
160,ratA
161,yfjF
162,bamE
163,recN
164,nadK
165,ssrA
166,grpE
167,ffh
168,rpsP
169,rimM
170,trmD
171,rplS
172,yfiB
173,ypjD
174,rplB
175,yfiR
176,rpsS
177,yfiH
178,pheA
179,raiA
180,bamD
181,tyrA
182,rluD
183,clpB
184,Ysr155_RyfD
185,aroF
186,ibeC
187,gldA
188,metJ
189,metB
190,metL
191,metF
192,katG
193,yijE
194,yiiX
196,ptsA
197,frwC
198,frwB
200,frwD
201,yijO
202,fsa
203,ydcY
204,argE
205,argB
206,argH
208,oxyS
209,oxyR
210,sthA
211,fabR
212,yijD
213,trmA
214,btuB
215,murI
217,rbsK
218,nei
219,abrB
221,ybgA
222,phr
223,dtpD
224,ybgI
225,ybgJ
226,ybgK
227,ybgL
231,fimA
232,gltA
234,sdhC
235,sdhD
236,sdhA
237,sdhB
238,sucA
239,sucB
240,sucC
241,sucD
245,cydA
246,cydB
247,trnI
249,ybgC
250,tolQ
251,tolR
252,tolA
253,tolB
254,pal
255,cpoB
256,cydX
259,ybgE
260,fdnH
261,fdnG
265,garP
267,garR
268,garK
269,RNaseP_bact_a
273,gspL
279,gspE
295,lptF
302,gss
303,yghU
307,lptG
320,maeA
321,adhP
323,fdnI
326,narU
327,narZ
328,narH
329,narW
330,narI
333,yddH
349,trnF
350,yqgA
352,speC
353,nupG
354,mltC
355,yggX
356,mutY
357,trmB
358,speA
360,ansB
362,yggW
363,rdgB
364,yggU
365,yggT
366,yggS
368,yqgF
369,yqgE
370,gshB
371,rsmE
372,endA
373,yggI
374,galP
375,metK
376,yggN
377,argC
378,yddG
379,glpR
380,bcsG
381,bcsF
382,bcsE
387,bcsZ
389,hmsP
390,dctC
391,yhjJ
392,kdgK
393,pdeH
394,purD
395,zraR
396,yhjD
397,yhjC
398,yhjB
399,treF
400,ccp
401,yhjG
402,purH
403,yhjE
404,speB
405,zraS
407,yjaH
408,hupA
409,yjaG
410,nfi
411,hemE
412,nudC
413,rsd
414,thiC
415,thiE
416,thiF
417,thiG
421,P26
422,rplL
423,rplA
424,rplK
425,nusG
426,secE
427,rpoC
431,yncE
435,mddA
436,rpoB
441,ydcV
442,ydcU
444,ydcS
445,ydcR
463,malX
464,marR
465,rrl
466,rrs
469,selB
474,selA
485,xylF
486,avtA
487,malS
489,bax
490,xylR
491,xylH
492,yhjV
493,xylG
494,sok
495,xylB
497,yiaA
498,wecH
499,ysaB
500,glyQ
501,xylA
502,glyS
504,dppD
506,yiaG
507,yiaF
508,ghrB
509,yiaD
510,bisC
511,yiaC
512,cspA
513,tag
514,eptB
515,trnP
516,dppA
517,dppB
518,dppC
520,dppF
521,ysaA
522,tdcE
525,tdcA
526,tdcB
527,tdcC
528,tdcD
530,tdcG
532,yhaM
533,yhaL
534,yhaK
537,yqjG
540,yqjE
541,yqjD
542,yqjC
543,mzrA
544,yqjA
545,yqiM
547,exuR
548,yqjF
559,ebgC
565,ygjI
567,ebgR
568,ygjH
569,ygjG
573,ebgA
574,rpoD
575,SIB_RNA
576,bacA
577,tsaD
579,ttdB
580,ttdA
581,ttdR
582,ygiH
583,rpsU
584,folB
585,dnaG
586,ygiM
587,ygiF
588,glnE
589,hldE
590,cca
593,ftsP
594,ribB
