,Gene
601,cpdA
602,ygiD
603,ygiC
604,ygiB
605,tolC
606,nudF
607,yqiB
608,zupT
610,parE
611,plsC
612,ygiN
613,gntR
614,qseC
615,qseB
617,ygiV
618,parC
619,mdaB
621,ygiQ
623,exbD
624,dkgA
625,ES173
626,yqhD
627,yqhC
628,yghB
629,metC
630,yqaE
631,exbB
632,hybB
633,yghA
634,yqhA
635,yghZ
636,yghX
638,hybO
639,hybA
641,csiR
642,hypA
643,hybG
644,hybE
645,hybD
646,csiD
647,lhgO
648,gabD
649,gabT
650,gabP
651,yqhG
652,kbp
653,yqhH
654,nrdF
655,stpA
656,alaE
658,nrdH
659,nrdI
660,ygaP
662,emrA
663,proW
664,proX
665,ygaY
666,ygaZ
667,ygaH
668,proV
669,ygaV
672,gshA
673,yqaA
674,yqaB
676,micA
677,luxS
678,ybcH
681,menH
687,sppA
706,zapA
707,dksA
713,purK
714,folD
715,ybcJ
717,cysS
718,ppiB
719,lpxH
721,purE
725,fdrA
729,ybcF
736,allR
737,allA
738,allS
739,mnmH
740,yafJ
741,yafV
742,ivy
743,fadE
744,lpcA
745,dpaA
746,proA
747,rtcB
748,yafL
752,dinB
754,yafP
756,pepD
757,gpt
758,frsA
759,crl
760,phoE
761,proB
791,araH
795,ykgF
802,ccmA
806,betT
809,lysR
817,rbsB
828,dedA
836,yciC
840,copA
886,rsmA
889,ssb
894,rplJ
895,mtlD
896,lldR
897,mtlR
898,yibT
899,sspA
900,yibL
902,rpmG
903,lldP
904,envC
905,trmL
906,cysE
908,secB
909,grxC
910,yibN
911,lldD
912,gpmM
913,yibQ
914,coaD
915,rfaY
916,kbl
917,rfaD
918,rfaF
921,tdh
922,rfaJ
924,waaO
925,rfaP
926,rfaG
927,rfaQ
928,waaA
929,mnmG
930,mutM
934,dut
935,slmA
936,pyrE
938,rph
939,radC
940,yicC
941,gltS
942,ligB
943,gmk
944,rpoZ
945,spoT
947,recG
948,yicG
949,rpmB
950,xanP
953,trnU
958,yicI
960,yicH
961,adeD
962,uhpT
963,uhpC
964,uhpB
965,uhpA
966,ilvN
970,aslB
972,yidH
976,mnmE
978,yidR
981,yidE
982,ibpB
986,cbrA
987,rnpA
988,gyrB
993,yidA
997,dnaN
998,dnaA
999,asdA
1000,ysdD
1001,rpmH
1002,recF
1003,emrD
1004,yidC
1008,mdtL
1009,yidZ
1010,yieE
1011,yieF
1012,adeP
1013,tnaA
1014,yieH
1015,phoU
1023,tnaC
1024,pstB
1025,atpB
1026,STnc410
1027,pstS
1031,glmS
1032,pstC
1034,pstA
1035,atpD
1036,atpG
1037,atpA
1038,atpH
1039,atpF
1040,atpE
1042,araB
1043,atpI
1044,araC
1045,rbsC
1046,asnC
1047,asnA
1049,kup
1050,rbsD
1051,dxr
1052,rbsA
1053,nlpE
1055,hsrA
1056,yieP
1058,arfB
1059,lpxB
1060,rof
1061,tilS
1062,yaeR
1063,ldcC
1064,accA
1065,dnaE
1067,rnhB
1068,yaeQ
1069,fabZ
1070,lpxD
1071,skp
1072,bamA
1073,rseP
1074,cdsA
1075,lpxA
1076,mioC
1077,ispU
1079,yaeH
1080,tsf
1082,rpsB
1083,t44
1084,map
1085,glnD
1086,pyrH
1087,dapD
1089,degP
1091,mtnN
1092,btuF
1093,yadS
1094,cdaR
1095,frr
1096,clcA
1097,sfsA
1098,fhuB
1099,fhuD
1100,fhuC
1101,fhuA
1102,mrcB
1103,hrpB
1104,hemL
1105,thpR
1106,yadX
1107,gluQRS
1108,pcnB
1109,folK
1112,mraZ
1113,can
1114,panC
1116,panD
1117,yadE
1118,yadI
1119,yadH
1120,secA
1121,yadG
1123,gcd
1124,cueO
1125,yacC
1127,speD
1128,yacL
1129,hpt
1131,lpd
1132,mutT
1133,tp2
1134,pdhR
1135,aroP
1136,ampE
1137,ampD
1138,nadC
1139,aceE
1140,ppdD
1141,aceF
1142,guaC
1144,coaE
1145,zapD
1146,yacG
1148,panB
1149,STnc40
1150,ftsW
1151,ftsZ
1152,PssrA
1153,ftsA
1154,ftsQ
1155,ddlB
1156,murC
1157,lpxC
1158,murG
1159,cra
1160,mraY
1161,murF
1162,murE
1163,ftsI
1164,ftsL
1165,rsmH
1166,murD
1167,secM
1168,fruL
1169,yabI
1171,leuO
1174,leuC
1175,ilvI
1176,leuD
1177,ilvH
1179,sgrR
1181,thiP
1182,thiQ
1183,sgrS
1184,erpA
1185,rsmG
1186,surA
1187,polB
1188,rapA
1189,rluA
1190,ahpC
1191,djlA
1192,ES003
1193,lptD
1195,apaG
1196,apaH
1198,kefC
1200,pdxA
1203,carB
1204,caiT
1207,caiB
1208,caiC
1209,caiD
1210,caiE
1211,caiF
1212,caiA
1213,ybfF
1214,carA
1215,seqA
1216,ispH
1217,lspA
1218,ileS
1219,ribF
1220,rpsT
1222,rihC
1223,tpke11
1224,nhaR
1225,nhaA
1226,mokC
1227,dapB
1228,dnaK
1229,pgm
1230,kdpA
1231,satP
1232,mog
1233,talB
1234,yaaJ
1235,yaaA
1236,msyB
1237,ybfA
1238,yaaI
1239,kdpC
1240,kdpD
1241,kdpE
1245,kdpB
1246,dnaJ
1247,fkpB
1248,tatE
1249,fldA
1251,fur
1254,glnS
1255,trnQ
1256,nagE
1257,nagA
1258,nagC
1259,nagD
1260,asnB
1261,trnL
1263,nagB
1264,ubiF
1266,sroC
1267,ybeZ
1268,ybeY
1269,corC
1270,lnt
1271,gltI
1274,gltL
1278,miaB
1280,gltJ
1283,mrdA
1284,leuS
1285,lptE
1286,holA
1287,nadD
1288,cobC
1289,rsfS
1290,ybeL
1292,crcB
1293,rlpA
1294,dacA
1295,ybeD
1296,lipB
1298,lipA
1299,mrdB
1300,uspG
1302,citX
1306,citC
1307,citD
1309,pagP
1310,citF
1311,cspE
1312,citT
1313,rna
1314,ybfE
1315,rnk
1318,araD
1319,ahpF
1320,dsbG
1321,entA
1322,ybdN
1324,ybdL
1325,hcxA
1326,ybdD
1327,cstA
1328,cusC
1329,entH
1331,entE
1332,entC
1333,fepB
1334,entS
1335,fepD
1336,fepG
1337,entB
1338,fepC
1339,entF
1340,cusB
1341,ybdK
1342,fepA
1345,fes
1346,ybdZ
1347,ybdF
1348,nfsB
1349,ybdG
1350,pheP
1351,cusA
1354,cusF
1355,yraP
1357,cusS
1360,cusR
1362,diaA
1375,rsmI
1376,lpoA
1377,yraN
1379,yraQ
1381,ptsN
1382,deaD
1383,yhbQ
1384,yhbS
1385,ubiT
1386,yhbU
1387,yhbV
1388,yhbW
1389,rplU
1390,mtr
1391,nlpI
1392,pnp
1393,sraG
1394,rpsO
1395,truB
1396,yrbN
1397,rbfA
1398,infB
1399,yhbE
1400,folP
1401,trnfM
1402,argG
1404,secG
1405,rimP
1406,glmM
1407,nusA
1408,rlmE
1409,yhbY
1410,greA
1411,dacB
1412,cgtA
1413,ftsH
1414,yhbP
1415,rpmA
1417,yrbG
1418,murA
1419,ibaG
1420,mlaC
1421,mlaD
1422,mlaE
1423,sfsB
1424,mlaF
1425,rapZ
1426,kdsC
1427,lptC
1428,lptA
1429,lptB
1430,rpoN
1431,hpf
1432,kdsD
1433,ispB
1434,npr
1436,elbB
1437,arcZ
1438,arcB
1439,yhcC
1440,gltB
1441,gltD
1442,mtgA
1444,yrbL
1445,nanK
1446,nanE
1447,nanT
1448,nanA
1449,nanR
1450,nanQ
1451,sspB
1452,rpsI
1453,yhcO
1454,zapE
1455,zapG
1456,degQ
1457,degS
1458,mdh
1459,argR
1460,yhdY
1461,yhcN
1462,mreD
1463,aaeA
1464,aaeX
1465,aaeR
1466,tldD
1467,yhdP
1468,rng
1469,aaeB
1470,mreC
1472,fis
1473,yhdH
1474,accB
1475,accC
1476,yhdT
1477,panF
1478,prmA
1479,csrD
1480,dusB
1481,mreB
1488,bssS
1490,pnuC
1491,nadA
1492,modF
1493,ybgS
1494,aroG
1495,gpmA
1496,galM
1497,galK
1498,galT
1500,yhdZ
1501,modE
1502,uvrB
1504,modB
1505,modC
1506,ybhA
1507,pgl
1510,modA
1512,acrZ
1513,ybhB
1514,bioA
1515,bioB
1516,bioF
1517,bioC
1518,bioD
1519,ybhC
1520,ybhK
1522,clsB
1523,moaB
1524,moaC
1525,moaD
1526,moaE
1527,ybhL
1529,opgE
1530,ybhN
1531,ybhQ
1532,ybhR
1534,hlyD
1535,cecR
1536,ybhP
1537,rhlE
1539,yliM
1540,mcbA
1543,ybiJ
1547,fiu
1548,dinG
1549,ybiO
1550,glnQ
1551,glnP
1552,glnH
1553,dps
1554,rhtA
1556,moaA
1557,ompX
1559,ldtB
1560,ybiT
1561,mntR
1562,csgE
1563,trnS
1564,ghrA
1566,ycdY
1567,ycdZ
1569,mntS
1571,yceO
1572,csgA
1573,csgC
1574,ymdB
1575,clsC
1576,mdoC
1577,mdoG
1578,csgB
1579,mdoH
1580,ES056
1581,mdtG
1582,lpxL
1583,yceA
1584,yceI
1586,yceK
1587,rplM
1588,solA
1589,murJ
1590,yceB
1591,grxB
1592,mdtH
1593,rimJ
1594,yceH
1595,tmk
1596,yceM
1597,flgG
1598,flgM
1599,flgA
1604,flgN
1607,pabC
1608,yceD
1610,flgL
1611,rne
1612,rluC
1615,sraB
1617,plsX
1618,fabH
1619,fabD
1620,fabG
1621,acpP
1622,fabF
1623,rpmF
1624,pyrC
1626,roxA
1627,ptsG
1628,fhuE
1629,hinT
1630,ycfL
1631,lpoB
1632,thiK
1633,nagZ
1635,ndh
1636,ycfJ
1637,comR
1639,ycfS
1640,mfd
1641,ycfT
1642,lolC
1643,lolD
1644,holB
1645,ycfH
1646,cobB
1648,potD
1649,potC
1650,potB
1651,potA
1652,pepT
1653,lolE
1654,phoQ
1655,phoP
1656,purB
1657,hflD
1658,mnmA
1659,nudJ
1660,rluE
1661,icd
1662,nagK
1664,kdsA
1665,ymgD
1671,dhaM
1673,ycgM
1675,minE
1676,minD
1677,minC
1678,ycgJ
1679,ymgG
1680,ycgL
1681,ycgN
1683,dadA
1684,C0299
1685,umuD
1686,umuC
1687,dsbB
1688,nhaB
1689,fadR
1691,nhaP2
1692,ldcA
1693,emtA
1694,ycgR
1695,ymgE
1700,prs
1701,dhaR
1703,ychF
1704,pth
1705,ychH
1706,dhaK
1707,dauA
1709,lolB
1710,hemA
1711,prfA
1712,prmC
1713,sirB2
1714,sirB1
1715,ispE
1716,dhaL
1717,fdhD
1718,kdgT
1719,sodA
1720,rhaT
1721,rhaR
1722,rhaS
1723,rhaB
1724,yiiM
1725,rhaA
1731,rhaD
1732,yjfF
1733,dtd
1734,fdhE
1737,spfP
1738,yiiD
1740,yihX
1743,yihU
1746,yihY
1748,yihA
1753,bipA
1754,ES222
1756,glnA
1758,glnG
1760,hemN
1761,yihI
1762,csrC
1763,glnL
1765,Spot_42
1767,yihG
1769,dsbA
1770,rdoA
1771,yihD
1772,mobA
1773,mobB
1777,polA
1797,asd
1798,adiC
1800,proP
1801,STnc630
1802,pmrR
1803,pmrB
1804,pmrA
1805,groL
1806,dcuR
1807,adiA
1808,melR
1809,melA
1811,fumB
1812,adiY
1813,dcuB
1814,dcuS
1815,yjeH
1818,lysS
1824,yjdI
1825,dsbD
1826,cutA
1827,dcuA
1828,aspA
1829,fxsA
1830,yjdC
1831,crfC
1832,groS
1835,epmB
1836,efp
1838,ecnB
1839,sugE
1841,blc
1842,rsgA
1843,frdB
1844,frdA
1845,epmA
1846,yjeM
1847,mscM
1848,frdD
1849,yjeI
1850,orn
1851,rnr
1852,miaA
1854,queG
1855,yjeF
1856,tsaE
1857,amiB
1858,mutL
1859,hflX
1860,hflK
1861,hflC
1863,purA
1864,nsrR
1865,hfq
1866,fdoI
1867,rlmB
1868,fdoH
1869,ulaR
1871,yjfM
1872,yjfC
1873,yjfN
1874,bsmA
1876,yjfP
1878,ulaA
1879,ulaB
1880,ulaC
1881,ulaD
1882,ulaE
1883,ulaF
1884,ulaG
1886,rpsR
1887,rplI
1888,priB
1889,ydiF
1890,rpsF
1907,fbp
1908,ytfP
1909,ppa
1910,ytfQ
1912,ytfT
1913,tamB
1915,mpl
1917,pmbA
1918,cybC
1919,nrdG
1920,nrdD
1921,treC
1922,treB
1923,yjgA
1924,treR
1925,mgtA
1928,pyrB
1931,mgtL
1933,yjiM
1934,Ysr276
1935,argF
1936,rraB
1939,valS
1940,holC
1942,pepA
1956,iadA
1957,uxuA
1958,uxuB
1959,uxuR
1961,iraD
1963,yjiN
1964,yjiH
1969,yjiL
1970,yjiG
1978,yjiA
1980,btsT
1988,mtlA
1992,tsr
1993,yjjP
1996,opgB
1998,dnaC
1999,dnaT
2000,yjjB
2001,rsmC
2002,bglJ
2003,fhuF
2006,holD
2007,radA
2008,deoC
2009,prfC
2010,osmY
2011,ytjA
2012,yjjU
2013,yjjV
2014,yjjW
2015,yjjG
2016,yjjI
2017,rimI
2018,deoB
2019,deoD
2020,lplA
2021,serB
2022,deoA
2023,nadR
2025,creC
2026,trpR
2027,yjjX
2028,ytjC
2029,robA
2030,creA
2031,slt
2032,creB
2034,arcA
2035,yjtD
2036,thrA
2037,thrB
2038,creD
2039,ettA
2040,metA
2048,pepE
2049,rluF
2050,yjbD
2052,thrC
2053,lysC
2054,nrfC
2055,malG
2056,STnc430
2057,yjbE
2058,yjbF
2060,yjbH
2061,psiE
2062,yjbR
2064,malE
2065,malK
2066,lamB
2067,malM
2068,malF
2070,aphA
2072,plsB
2073,dgkA
2074,lexA
2075,dinF
2076,yjbJ
2077,zur
2078,ubiA
2080,ubiC
2081,pspG
2082,qorA
2083,dnaB
2084,alr
2085,tyrB
2086,dusA
2087,pgi
2088,yjbQ
2092,soxS
2093,soxR
2094,sraL
2095,ghxP
2096,yjcE
2097,nrfD
2098,yjcH
2099,acs
2100,ytcB
2101,nrfA
2102,nrfB
2103,actP
2104,uvrA
2105,nrfE
2106,ychO
2107,gltP
2108,chaA
2109,chaB
2110,chaC
2111,nrfG
2112,ychN
2113,nrfF
2114,narX
2115,narK
2116,narG
2117,narJ
2119,ychT
2120,ychJ
2121,rssA
2122,rssB
2123,galU
2124,hns
2125,tdk
2126,rluB
2127,adhE
2130,oppB
2131,oppC
2132,oppD
2133,ychE
2134,oppF
2135,clsA
2136,yciV
2138,tonB
2139,yciA
2140,yciB
2141,ompW
2143,yciI
2144,kch
2145,trpB
2146,trpF
2147,trpD
2148,trpE
2150,trpA
2151,purU
2152,yciO
2153,pspA
2155,sohB
2157,topA
2158,cysB
2159,ymiA
2160,yciX
2161,yciK
2162,STnc180
2163,yciT
2164,ribA
2165,pgpB
2166,lapA
2167,lapB
2168,pyrF
2169,yciH
2170,acnA
2171,cobO
2172,yciZ
2173,pspF
2174,ymjA
2175,yciW
2176,fabI
2177,sapF
2178,sapD
2179,sapC
2180,sapB
2181,rnb
2182,sapA
2183,pdeR
2191,pspB
2194,pspE
2201,tpx
2206,ycjX
2207,ycjF
2209,tyrR
2210,ycjG
2215,mppA
2216,ynaI
2219,uspE
2220,mpaA
2228,pspD
2230,pspC
2268,osmB
2284,yeeX
2285,eutP
2290,yeeA
2294,cheW
2296,zinT
2303,cobS
2305,trnN
2306,nac
2309,ldtA
2311,shiA
2322,mtfA
2324,yeeN
2325,msrQ
2327,hprR
2328,hprS
2330,yedE
2332,dsrA
2333,dcm
2334,vsr
2335,yedA
2336,yedI
2337,yodC
2338,dgcQ
2340,yedP
2341,yodD
2344,fliR
2345,fliQ
2346,fliP
2348,fliN
2350,rcsA
2351,fliL
2352,dsrB
2354,fliH
2355,fliG
2356,fliF
2357,fliE
2359,fliJ
2360,yedX
2361,yedF
2362,msrP
2363,dcyD
2364,fliT
2365,fliS
2366,fliD
2367,fliA
2369,amyA
2370,tcyJ
2371,trnC
2372,tcyN
2373,sdiA
2374,yecF
2375,uvrY
2376,uvrC
2377,pgsA
2378,tcyL
2379,yedD
2380,motB
2381,araG
2382,ftnA
2383,yecR
2385,yecJ
2386,ftnB
2387,tyrP
2388,araF
2389,yecA
2390,otsB
2391,otsA
2392,uspC
2393,flhD
2394,flhC
2395,motA
2397,cheA
2399,flhE
2401,cheR
2402,cheB
2403,cheY
2404,cheZ
2405,flhB
2406,yebB
2407,flhA
2408,argS
2409,yecM
2410,cutC
2411,micL
2415,yebC
2416,cmoA
2417,yecN
2418,yecE
2420,aspS
2421,nudB
2422,cmoB
2423,tar
2424,ruvC
2425,prc
2426,yebK
2427,ruvB
2428,znuB
2429,znuC
2430,znuA
2431,mepM
2432,lpxM
2433,ruvA
2434,pykA
2435,zwf
2436,edd
2437,kdgA
2438,purT
2439,yebG
2440,yebF
2442,yebE
2443,proQ
2444,SdsR_RyeB
2445,yobB
2446,holE
2447,yobA
2448,copD
2450,exoX
2451,SraC_RyeA
2452,ptrB
2453,yebW
2454,yebV
2455,rsmF
2456,yebT
2457,yebS
2458,msrC
2459,pphA
2460,C0465
2461,htpX
2462,xthA
2463,manZ
2466,rlmA
2467,mntP
2468,yobD
2469,yoaH
2470,manX
2471,yoaE
2472,pdeD
2473,sdaA
2474,nudL
2475,manY
2476,pabB
2479,tsaB
2480,yeaY
2481,fadD
2482,sroD
2483,rnd
2485,yoaA
2487,yoaB
2489,leuE
2490,yeaR
2495,cho
2496,chbR
2500,osmE
2501,nadE
2502,chbF
2503,ydjX
2504,spy
2505,astE
2506,astB
2507,astD
2508,astA
2510,ves
2512,ydjY
2513,pncA
2524,topB
2525,selD
2527,ansA
2529,yejM
2530,yeaC
2531,gapA
2533,mipA
2534,yeaG
2535,yeaH
2536,cdgI
2537,dgcJ
2538,yeaK
2539,yeaL
2542,yeaO
2543,yoaF
2545,yoaJ
2546,yeaQ
2548,hdeD
2549,hdeA
2550,proS
2551,tsaA
2552,rcsF
2553,metQ
2554,metI
2555,metN
2556,gmhB
2557,gadY
2558,gadW
2560,mdtE
2561,ES205
2562,gadE
2563,yaeF
2565,hdeB
2566,nikR
2567,dctR
2568,slp
2571,arsC
2573,gor
2574,rlmJ
2575,prlC
2576,rsmJ
2577,dtpB
2578,uspA
2579,uspB
2580,dcrB
2581,yhiD
2586,pitA
2587,nikE
2588,nikD
2589,nikC
2590,nikB
2591,nikA
2592,acpT
2593,yhhT
2595,yhiN
2596,nudE
2597,ppiD
2598,zntA
2599,yhhN
2601,yhhL
2602,rsmD
2603,ftsY
2604,ftsX
2605,rpoH
2606,livJ
2607,panZ
2608,livK
2609,livH
2610,livM
2611,livG
2612,livF
2613,ugpB
2614,ugpA
2615,glgB
2616,glgX
2617,ugpQ
2618,yhhA
2624,yhhY
2625,ugpE
2628,gntK
2629,gntU
2630,yhgN
2631,yhgO
2632,ugpC
2633,yhhQ
2634,glgC
2635,envZ
2636,glgP
2637,glpD
2638,glpE
2639,glpG
2642,malT
2643,malP
2644,malQ
2645,gntT
2646,nfuA
2647,tusA
2648,glgA
2650,feoC
2651,feoB
2652,feoA
2653,yhgF
2654,greB
2655,ompR
2658,pck
2660,hslO
2661,hslR
2662,yrfG
2663,yrfF
2664,bioH
2665,ryhB
2666,mrcA
2667,araJ
2668,hofO
2669,hofP
2670,hofQ
2671,aroK
2672,aroB
2673,damX
2674,dam
2675,gph
2682,yhfA
2683,fghA
2688,cysG
2689,nirC
2690,nirD
2691,nirB
2693,ppiA
2694,yhfG
2695,fic
2696,pabA
2698,argD
2699,yhfK
2700,crp
2702,tsgA
2703,prkB
2705,yheS
2706,kefG
2708,yheV
2709,slyD
2710,slyX
2711,fkpA
2712,yheO
2714,tusB
2715,rpsL
2716,rpsG
2717,fusA
2719,tusD
2720,yheU
2727,lacY
2728,lacZ
2729,lacI
2738,yaiL
2739,yheT
2740,hofM
2741,frmA
2745,tauA
2746,tauB
2747,tauC
2748,tauD
2749,hemB
2752,ampH
2753,sbmA
2756,yaiZ
2757,ddlA
2758,iraP
2760,queA
2761,tgt
2762,proC
2763,yaiI
2764,aroL
2765,yaiA
2766,aroM
2767,yaiE
2768,rdgC
2769,mak
2770,psiF
2771,sbcC
2772,sbcD
2773,phoB
2774,phoR
2775,brnQ
2776,proY
2780,frmR
2781,yajC
2782,ampG
2783,secF
2784,yajD
2785,tsx
2787,nrdR
2788,ribD
2789,ribE
2790,nusB
2791,thiL
2792,pgpA
2794,dxs
2795,ispA
2796,xseB
2797,thiI
2798,yajL
2799,panE
2801,secD
2802,cyoE
2803,cyoD
2804,cyoC
2805,cyoB
2806,cyoA
2807,yajQ
2808,yajG
2809,bolA
2810,tig
2811,clpP
2812,clpX
2813,sraA
2814,lon
2815,hupB
2816,yajR
2817,msrB
2818,ybaV
2819,queC
2820,ybaE
2821,cof
2822,ybaO
2823,mdlA
2824,mdlB
2825,glnK
2826,amtB
2827,tesB
2828,ybaY
2829,atl
2830,Bacteria_small_SRP
2831,ybaA
2833,ylaC
2834,maa
2835,tomB
2837,ybaK
2838,acrR
2839,mscK
2841,priC
2842,ybaN
2843,apt
2844,dnaX
2845,acrB
2846,recR
2847,htpG
2848,adk
2849,hemH
2850,aes
2851,gsk
2852,ybaL
2854,acrA
2855,ybaB
2856,sroB
2859,ybaS
2860,ybaT
2861,cueR
2862,ybbJ
2864,fetA
2865,fetB
2866,cnoX
2867,ybbO
2868,tesA
2869,ybbA
2870,ybbP
2871,ybiY
2872,ybaP
2882,ybiV
2887,moeA
2888,iaaA
2889,gsiA
2890,gsiB
2891,gsiC
2892,gsiD
2893,pdeI
2895,rimO
2896,bssR
2897,yliI
2898,gstB
2899,dacC
2900,deoR
2901,ybjG
2902,mdfA
2903,ybjH
2904,ybjI
2905,artQ
2906,artI
2907,rybB
2908,potF
2909,ybjL
2910,ybjM
2911,grxA
2912,ybjC
2913,nfsA
2914,rimK
2915,ybjJ
2918,potH
2919,potI
2920,ybjO
2921,rlmC
2923,artM
2924,potG
2925,fsaA
2926,artP
2927,rarA
2928,ybjQ
2929,amiD
2932,ltaE
2933,poxB
2934,hcr
2935,hcp
2937,aqpZ
2939,ybjX
2940,cspD
2941,yljB
2942,clpS
2943,moeB
2945,infA
2947,cydC
2948,cydD
2949,trxB
2950,lrp
2951,ftsK
2952,lolA
2953,clpA
2954,serS
2955,STnc130
2956,dmsA
2957,dmsB
2958,dmsC
2959,ycaC
2960,ycaD
2962,fadM
2963,pflA
2964,glpB
2965,focA
2966,ycaO
2967,ycaP
2968,serC
2969,aroA
2970,ycaL
2971,cmk
2972,rpsA
2973,ihfB
2975,msbA
2976,lpxK
2977,ycaQ
2978,ycaR
2979,kdsB
2980,ycbJ
2981,elyC
2982,truA
2983,mukE
2984,mukB
2985,ldtD
2986,ycbK
2987,gloC
2988,cmoM
2989,mnmC
2990,fabB
2991,yfcJ
2992,flk
2993,pdxB
2994,usg
2995,mukF
2996,accD
2997,nuoA
2998,dedD
2999,cvpA
3000,purF
3001,ubiX
3003,hisJ
3004,hisQ
3006,hisP
3008,yfcH
3009,folX
3011,yfcF
3012,yfcE
3013,yfcD
3014,yfcC
3015,nuoJ
3016,folC
3017,yfbV
3018,yfbU
3019,hxpA
3020,yfbS
3021,yfbR
3022,alaA
3023,lrhA
3024,pta
3025,nuoB
3026,nuoC
3027,nuoE
3028,nuoF
3029,nuoG
3030,nuoH
3031,nuoI
3032,ackA
3033,yeaD
3034,pflB
3035,nuoM
3036,nuoN
3039,rbn
3042,menF
3043,menD
3044,menB
3045,menC
3046,menE
3047,pmrD
3048,arnF
3049,arnE
