strain,strain_alternative,strain_alternative2,phylum,host,sex
ECOR01,QOWM01.1,QOWM01.1,A,human,female
ECOR02,QOWN01.1,QOWN01.1,A,human,male
ECOR03,QOWO01.1,QOWO01.1,A,dog,
ECOR04,QOWP01.1,QOWP01.1,A,human,female
ECOR05,QOWQ01.1,QOWQ01.1,A,human,female
ECOR06,QOWR01.1,QOWR01.1,A,human,male
ECOR07,QOWS01.1,QOWS01.1,A,orangutan,
ECOR08,QOWT01.1,QOWT01.1,A,human,female
ECOR09,QOWU01.1,QOWU01.1,A,human,female
ECOR10,QOWV01.1,QOWV01.1,A,human,female
ECOR11,QOWW01.1,QOWW01.1,A,human,female
ECOR12,QOWX01.1,QOWX01.1,A,human,female
ECOR13,QOWY01.1,QOWY01.1,A,human,female
ECOR14,QOWZ01.1,QOWZ01.1,A,human,female
ECOR15,QOXA01.1,QOXA01.1,A,human,female
ECOR16,QOXB01.1,QOXB01.1,A,leopard,
ECOR17,QOXC01.1,QOXC01.1,A,pig,
ECOR18,QOXD01.1,QOXD01.1,A,celebese ape,
ECOR19,QOXE01.1,QOXE01.1,A,celebese ape,
ECOR20,QOXF01.1,QOXF01.1,A,steer,
ECOR21,QOXG01.1,QOXG01.1,A,steer,
ECOR22,QOXH01.1,QOXH01.1,A,steer,
ECOR23,QOXI01.1,QOXI01.1,A,elephant,
ECOR24,QOXJ01.1,QOXJ01.1,A,human,female
ECOR25,QOXK01.1,QOXK01.1,A,dog,
ECOR26,QOXL01.1,QOXL01.1,B1,human,infant
ECOR27,QOXM01.1,QOXM01.1,B1,giraffe,
ECOR28,QOXN01.1,QOXN01.1,B1,human,female
ECOR29,QOXO01.1,QOXO01.1,B1,kangaroo rat,
ECOR30,QOXP01.1,QOXP01.1,B1,bison,
ECOR31,QOXQ01.1,QOXQ01.1,E,leopard,
ECOR32,QOXR01.1,QOXR01.1,B1,giraffe,
ECOR33,QOXS01.1,QOXS01.1,B1,sheep,
ECOR34,QOXT01.1,QOXT01.1,B1,dog,
ECOR35,QOXU01.1,QOXU01.1,F,human,male
ECOR36,QOXV01.1,QOXV01.1,F,human,female
ECOR37,QOXW01.1,QOXW01.1,E,marmoset,
ECOR38,QOXX01.1,QOXX01.1,F,human,female
ECOR39,QOXY01.1,QOXY01.1,F,human,female
ECOR40,QOXZ01.1,QOXZ01.1,F,human,female
ECOR41,QOYA01.1,QOYA01.1,F,human,male
ECOR42,QOYB01.1,QOYB01.1,E,human,male
ECOR43,QOYC01.1,QOYC01.1,A,human,female
ECOR44,QOYD01.1,QOYD01.1,D,cougar,
ECOR45,QOYE01.1,QOYE01.1,B1,pig,
ECOR46,QOYF01.1,QOYF01.1,D,celebese ape,
ECOR47,QOYG01.1,QOYG01.1,D,sheep,
ECOR48,QOYH01.1,QOYH01.1,D,human,female
ECOR49,QOYI01.1,QOYI01.1,D,human,female
ECOR50,QOYJ01.1,QOYJ01.1,D,human,female
ECOR51,QOYK01.1,QOYK01.1,B2 II,human,infant
ECOR52,QOYL01.1,QOYL01.1,B2 II,orangutan,
ECOR53,QOYM01.1,QOYM01.1,B2 VI,human,female
ECOR54,QOYN01.1,QOYN01.1,B2 II,human,
ECOR55,QOYO01.1,QOYO01.1,B2 II,human,female
ECOR56,QOYP01.1,QOYP01.1,B2 II,human,female
ECOR57,QOYQ01.1,QOYQ01.1,B2 II,gorilla,
ECOR58,QOYR01.1,QOYR01.1,B1,lion,
ECOR60,QOYS01.1,QOYS01.1,B2 VI,human,female
ECOR61,QOYT01.1,QOYT01.1,B2 IX,human,female
ECOR62,QOYU01.1,QOYU01.1,B2 IX,human,female
ECOR63,QOYV01.1,QOYV01.1,B2 UA,human,female
ECOR64,QOYW01.1,QOYW01.1,B2 VII,human,female
ECOR65,QOYX01.1,QOYX01.1,B2 UA,celebese ape,
ECOR66,QOYY01.1,QOYY01.1,B2 I,celebese ape,
ECOR67,QOYZ01.1,QOYZ01.1,B1,goat,
ECOR68,QOZA01.1,QOZA01.1,B1,giraffe,
ECOR69,QOZB01.1,QOZB01.1,B1,celebese ape,
ECOR70,QOZC01.1,QOZC01.1,C,gorilla,
ECOR71,QOZD01.1,QOZD01.1,B1,human,female
ECOR72,QOZE01.1,QOZE01.1,B1,human,female
ECOR59,QOZF01.1,QOZF01.1,B2 VI,human,male
HE205,HE205,HE205,A,lab,
GE025,GE025,GE025,A,lab,
NCM3722,NCM3722,NCM3722,A,lab,
MG1655,MG1655,MG1655,A,lab,
EC1,EC1,GE468,B2 III,human,
EC2,EC2,GE469,B2 III,human,
EC3,EC3,GE470,B2 III,human,
EC4,EC4,GE471,B2 III,human,
EC5,EC5,GE472,A,human,
EC6,EC6,GE473,B2 III,human,
EC7,EC7,,,,
EC8,EC8,,,,
