Strain,Buffer,Experiment,carbon_source,growth_rate,estimated_phiRb,estimated_nu_inv_hr
ECOR01,LB,Growth rate expt_II,LB,2.46334965,0.258833925202707,12.841163808167979
ECOR01,LB,Growth rate expt_I,LB,2.48704144,0.26086646178763306,13.104001488242051
ECOR01,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.024798,0.2212102474221462,8.819159286966366
ECOR01,MOPS,soft_agar expt_I,Glycerol,0.7942,0.11563631415931958,2.3666178282673753
ECOR01,MOPS,soft_agar expt_I,Glu+CAA,1.4788,0.17436866600105108,5.3462341420743975
ECOR01,MOPS,soft_agar expt_I,Gly+CAA,1.2843,0.15768236387832718,4.377942659334478
ECOR01,MOPS,swimming expt_I,Gly+CAA,1.3,0.1590292787540432,4.451982536844667
ECOR01,N-C-,Growth rate expt_I,Glucose,0.93957455,0.1281081067673146,2.9084094511024814
ECOR01,N-C-,Growth rate expt_II,Glucose,0.96052537,0.1299054934626298,2.9899708981391875
ECOR01,N-C-,Growth rate expt_I,Glycerol,0.72692074,0.1098643755528759,2.129324998247637
ECOR01,N-C-,Growth rate expt_I,Acetate,0.10841979,0.05680271120895948,0.2739388637147406
ECOR01,N-C-,Growth rate expt_II,Acetate,0.10358715,0.05638811536787793,0.26137572489800026
ECOR01,N-C-,Growth rate expt_I,Maltose,0.835241,0.11915725259334894,2.5154342743381206
ECOR01,N-C-,Growth rate expt_I,Fructose,0.804411,0.11651232357307348,2.403349723236199
ECOR01,N-C-,Growth rate expt_I,Succinate,0.778669,0.11430389792143769,2.311115886250628
ECOR01,N-C-,Yield expt (in glucose),Glucose,0.94115,0.12824326581450868,2.914510987176396
ECOR01,N-C-,Yield expt (in acetate),Acetate,,,
ECOR01,N-C-,Diauxie expt,Glucose,0.943892,0.12847850406859868,2.9251426700790946
ECOR01,N-C-,Preferred sugar expt_I,Mixed carbon,0.94327186,0.12842530178891545,2.922736811615001
