,,,,,,,,mM/OD,mM/OD,mM/OD/h,h,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mm/h,ug/ml/OD600,ug/ml/OD600,,uM/OD/h
Strain,Date,Buffer,Experiment,carbon_source,growth_rate,carbon_source_2,growth_rate_2,glu_consumption,acetate_secretion,acetate_flux,lag_time,fructose_consumption,maltose_consumption,Succinate_consumption,glycerol_consumption,galactose_consumption,glu+CAA_consumption,glu+CAA+ACGU_consumption,front_speed,total_RNA,total_protein,R/P,cAMP
ECOR01,,LB,Growth rate expt_II,LB,2.46334965,,,,,,,,,,,,,,,,,,
ECOR01,,LB,Growth rate expt_I,LB,2.48704144,,,,,,,,,,,,,,,,,,
ECOR01,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,2.024798,,,,,,,,,,,,,,,,,,
ECOR01,,MOPS,soft_agar expt_I,Glycerol,0.7942,,,,,,,,,,,,,,0.6948,,,,
ECOR01,,MOPS,soft_agar expt_I,Glu+CAA,1.4788,,,,,,,,,,,,,,,,,,
ECOR01,,MOPS,soft_agar expt_I,Gly+CAA,1.2843,,,,,,,,,,,,,,,,,,
ECOR01,,MOPS,swimming expt_I,Gly+CAA,1.3,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Glucose,0.93957455,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_II,Glucose,0.96052537,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Glycerol,0.72692074,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Acetate,0.10841979,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_II,Acetate,0.10358715,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Maltose,0.835241,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Fructose,0.804411,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Growth rate expt_I,Succinate,0.778669,,,,,,,,,,,,,,,,,,
ECOR01,,N-C-,Yield expt (in glucose),Glucose,0.94115,,,4.346994,-2.684193,-2.526228242,,,,,,,,,,,,,
ECOR01,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR01,,N-C-,Diauxie expt,Glucose,0.943892,Acetate,0.235246,,,0,0.785815,,,,,,,,,,,,
ECOR01,,N-C-,Preferred sugar expt_I,Mixed carbon,0.94327186,,,,,0,,,,,,,,,,,,,
ECOR01,,MOPS,Preferred sugar expt,Mixed carbon,1.003913318,,,4.26155978,-2.545344209,-2.55530495,,0.546577892,-0.015607191,0.6287034,-0.244607724,,,,,,,,
ECOR02,,LB,Growth rate expt_I,LB,2.64544483,,,,,0,,,,,,,,,,,,,
ECOR02,,LB,Growth rate expt_II,LB,2.48503886,,,,,0,,,,,,,,,,,,,
ECOR02,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.88204,,,,,0,,,,,,,,,,,,,
ECOR02,,MOPS,soft_agar expt_I,Glycerol,0.7129,,,,,0,,,,,,,,,3.292,,,,
ECOR02,,MOPS,soft_agar expt_I,Glu+CAA,1.3432,,,,,0,,,,,,,,,,,,,
ECOR02,,MOPS,soft_agar expt_I,Gly+CAA,1.188,,,,,0,,,,,,,,,,,,,
ECOR02,,MOPS,swimming expt_I,Gly+CAA,1.23,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Glucose,0.96568835,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_II,Glucose,0.96916,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Glycerol,0.74027221,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Acetate,0.4158702,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_II,Acetate,0.4265755,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Maltose,0.847933,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Fructose,0.72353,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Growth rate expt_I,Succinate,0.739792,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Yield expt (in glucose),Glucose,0.96568835,,,4.601429,-2.566383,-2.478326165,,,,,,,,,,,,,
ECOR02,,MOPS,Yield expt (in glycerol),Glycerol,0.5,,,,0,0,,,,,-14.675,,,,,,,,
ECOR02,,MOPS,Yield expt (in galactose),Galactose,0.571,,,,0,0,,,,,,5.86,,,,,,,
ECOR02,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.32,,,,-3.857,-5.09124,,,,,,,3.38,,,,,,
ECOR02,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.88204,,,,-9.9368,-18.70145507,,,,,,,,-5.332239,,,,,
ECOR02,,LB,R/P expt,LB,2.6454,,,,,0,,,,,,,,,,183.6606797,276.9749015,0.654850957,
ECOR02,,LB,R/P expt,LB,2.79,,,,,0,,,,,,,,,,182.9777605,282.9058416,0.654850957,
ECOR02,,MOPS,R/P expt,Glu+CAA+ACGU,1.882,,,,,0,,,,,,,,,,168.5385144,302.7272274,0.556733915,
ECOR02,,N-C-,R/P expt,Glu+CAA,1.3306,,,,,0,,,,,,,,,,110.5507974,302.8504498,0.365034285,
ECOR02,,N-C-,R/P expt,Glucose,1.0029,,,,,0,,,,,,,,,,88.47286043,248.2304714,0.356414182,
ECOR02,,N-C-,R/P expt,Glycerol,0.738,,,,,0,,,,,,,,,,84.21488198,254.321075,0.320541307,
ECOR02,,N-C-,R/P expt,Glycerol,0.7447,,,,,0,,,,,,,,,,82.75044661,266.5644558,0.320541307,
ECOR02,,N-C-,R/P expt,Acetate,0.426,,,,,0,,,,,,,,,,67.90578641,259.2488222,0.266042875,
ECOR02,,N-C-,R/P expt,Acetate,0.3721,,,,,0,,,,,,,,,,66.63692408,246.4693269,0.266042875,
ECOR02,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR02,,N-C-,Diauxie expt,Glucose,0.93212,Acetate,0.310986,,,0,1.641355,,,,,,,,,,,,
ECOR02,,N-C-,Preferred sugar expt_I,Mixed carbon,0.91064913,,,,,0,,,,,,,,,,,,,
ECOR02,,MOPS,Preferred sugar expt,Mixed carbon,0.894398417,,,4.428141318,-2.7073932,-2.421488191,,0.47115209,0.078174964,0.89614641,-0.19802206,,,,,,,,
ECOR02,,N-C-,cAMP_I,Glucose,0.96616765,,,,,,,,,,,,,,,,,,0.062246607
ECOR02,,N-C-,cAMP_I,Fructose,0.71936308,,,,,,,,,,,,,,,,,,0.171953081
ECOR02,,N-C-,cAMP_I,Acetate,0.403703,,,,,,,,,,,,,,,,,,0.14951802
